event_id,case_id,event_ts,account_id,user_id,session_id,ip_address,user_agent,model,prompt_category,prompt_text,response_outcome,moderation_label,moderation_score,policy_signal,risk_score,is_synthetic_abuse,analyst_note
case_001_base_1001_000,case_001,2026-04-30T15:14:00,acct_1001,user_1001,sess_case_001_1001_0,198.51.100.45,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.04,none,5,0,Baseline benign usage for comparison.
case_001_base_2033_000,case_001,2026-04-30T15:14:00,acct_2033,user_2033,sess_case_001_2033_0,198.51.100.25,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.12,none,13,0,Baseline benign usage for comparison.
case_001_base_2033_001,case_001,2026-04-30T15:31:00,acct_2033,user_2033,sess_case_001_2033_0,198.51.100.47,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.1,none,12,0,Baseline benign usage for comparison.
case_001_base_1001_002,case_001,2026-04-30T15:32:00,acct_1001,user_1001,sess_case_001_1001_0,198.51.100.21,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.03,none,17,0,Baseline benign usage for comparison.
case_001_base_1001_001,case_001,2026-04-30T15:33:00,acct_1001,user_1001,sess_case_001_1001_0,198.51.100.79,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.02,none,14,0,Baseline benign usage for comparison.
case_001_base_2033_002,case_001,2026-04-30T15:38:00,acct_2033,user_2033,sess_case_001_2033_0,198.51.100.18,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.02,none,8,0,Baseline benign usage for comparison.
case_001_base_1001_003,case_001,2026-04-30T15:41:00,acct_1001,user_1001,sess_case_001_1001_0,198.51.100.35,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.09,none,18,0,Baseline benign usage for comparison.
case_001_base_2033_003,case_001,2026-04-30T15:44:00,acct_2033,user_2033,sess_case_001_2033_0,198.51.100.39,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.11,none,13,0,Baseline benign usage for comparison.
case_001_base_1001_004,case_001,2026-04-30T16:02:00,acct_1001,user_1001,sess_case_001_1001_1,198.51.100.67,Chrome/125 desktop,gpt-investigator-sim,writing,Rewrite this customer support reply to sound more concise and polite.,allowed,none,0.07,none,1,0,Baseline benign usage for comparison.
case_001_base_2033_004,case_001,2026-04-30T16:18:00,acct_2033,user_2033,sess_case_001_2033_1,198.51.100.56,Chrome/125 desktop,gpt-investigator-sim,sql_help,Show me how a LEFT JOIN differs from an INNER JOIN using a toy example.,allowed,none,0.03,none,12,0,Baseline benign usage for comparison.
case_001_base_2033_005,case_001,2026-04-30T16:49:00,acct_2033,user_2033,sess_case_001_2033_1,198.51.100.44,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.09,none,3,0,Baseline benign usage for comparison.
case_001_base_1001_007,case_001,2026-04-30T16:52:00,acct_1001,user_1001,sess_case_001_1001_1,198.51.100.54,Chrome/125 desktop,gpt-investigator-sim,productivity,Summarize these meeting notes into action items for the team.,allowed,none,0.08,none,2,0,Baseline benign usage for comparison.
case_001_base_1001_005,case_001,2026-04-30T16:54:00,acct_1001,user_1001,sess_case_001_1001_1,198.51.100.64,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.05,none,5,0,Baseline benign usage for comparison.
case_001_base_2033_007,case_001,2026-04-30T17:06:00,acct_2033,user_2033,sess_case_001_2033_1,198.51.100.58,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.04,none,18,0,Baseline benign usage for comparison.
case_001_base_2033_006,case_001,2026-04-30T17:08:00,acct_2033,user_2033,sess_case_001_2033_1,198.51.100.31,Chrome/125 desktop,gpt-investigator-sim,data_analysis,Help me calculate weekly active users from this event table.,allowed,none,0.07,none,8,0,Baseline benign usage for comparison.
case_001_base_1001_006,case_001,2026-04-30T17:20:00,acct_1001,user_1001,sess_case_001_1001_1,198.51.100.53,Chrome/125 desktop,gpt-investigator-sim,coding_help,Explain why my Python loop is skipping the first row of a CSV.,allowed,none,0.02,none,13,0,Baseline benign usage for comparison.
case_001_target_000,case_001,2026-04-30T21:14:00,acct_1842,user_1842,sess_case_001_1842_0,203.0.113.77,Chrome/125 desktop,gpt-investigator-sim,policy_evasion,Rephrase a blocked request as a harmless training example. Synthetic case theme: Suspicious prompt escalation.,safe_completion,suspicious,0.83,evasion_after_refusal,70,1,Target account activity. Expected decision: escalate and temporary rate-limit.
case_001_target_001,case_001,2026-04-30T21:18:00,acct_1842,user_1842,sess_case_001_1842_0,203.0.113.77,Chrome/125 desktop,gpt-investigator-sim,credential_seeking,List warning signs that a prompt is trying to obtain passwords or tokens. Synthetic case theme: Suspicious prompt escalation.,safe_completion,suspicious,0.77,credential_interest_defensive_framing,62,1,Target account activity. Expected decision: escalate and temporary rate-limit.
case_001_target_002,case_001,2026-04-30T21:22:00,acct_1842,user_1842,sess_case_001_1842_0,203.0.113.77,Chrome/125 desktop,gpt-investigator-sim,social_engineering,Draft a fictional security-awareness message that uses pressure to reset access. Synthetic case theme: Suspicious prompt escalation.,safe_completion,suspicious,0.8,social_engineering_pattern,66,1,Target account activity. Expected decision: escalate and temporary rate-limit.
case_001_target_003,case_001,2026-04-30T21:26:00,acct_1842,user_1842,sess_case_001_1842_0,203.0.113.77,Chrome/125 desktop,gpt-investigator-sim,automation,Generate many variations of the same account-verification message for classification testing. Synthetic case theme: Suspicious prompt escalation.,safe_completion,suspicious,0.86,high_volume_variant_generation,73,1,Target account activity. Expected decision: escalate and temporary rate-limit.
case_001_related_2290_000,case_001,2026-04-30T21:29:00,acct_2290,user_2290,sess_case_001_2290_0,203.0.113.77,Python-requests/2.32,gpt-investigator-sim,credential_seeking,List warning signs that a prompt is trying to obtain passwords or tokens. Related-account synthetic signal for defensive linkage analysis.,safe_completion,suspicious,0.88,credential_interest_defensive_framing,69,1,Potential related account signal: shared infrastructure or repeated behavior.
